Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AAPL180420C00002500,2017-11-28 11:24AM EST,2.5,170.95,166.5,167.5,-1,-0.58%,5,5,0.00%
AAPL180420C00005000,2018-01-23 2:15PM EST,5,173.4,165.8,167.1,0,-,10,15,0.00%
AAPL180420C00007500,2018-01-26 11:51PM EST,7.5,170.9,163.3,164.65,0,-,10,10,0.00%
AAPL180420C00010000,2018-02-02 11:51PM EST,10,157.8,148.45,152.3,0,-,10,5,561.43%
AAPL180420C00022500,2017-11-17 11:48PM EST,22.5,149.45,145.55,149.45,0,-,5,5,617.92%
AAPL180420C00040000,2018-02-08 2:43PM EST,40,118.96,116.75,118.1,0,-,4,0,180.52%
AAPL180420C00050000,2018-02-08 3:21PM EST,50,108.9,106.8,108.15,0,-,300,0,153.91%
AAPL180420C00055000,2017-11-09 3:15PM EST,55,120.37,119.55,120.35,0,-,10,0,357.59%
AAPL180420C00060000,2018-01-10 2:03PM EST,60,113.95,116.6,117.5,0,-,1,0,350.98%
AAPL180420C00070000,2018-02-08 3:28PM EST,70,89.05,86.9,88.25,0,-,8,0,114.11%
AAPL180420C00085000,2018-02-02 12:12PM EST,85,77.8,75,75.9,-12.8,-14.13%,1,1,124.32%
AAPL180420C00090000,2018-01-11 2:34PM EST,90,85.4,86.65,87.6,0,-,55,61,231.40%
AAPL180420C00095000,2018-02-07 11:41AM EST,95,66.48,61.9,63.2,0,-,1,2,75.34%
AAPL180420C00100000,2018-02-06 3:36PM EST,100,63.5,56.95,58.25,0,-,27,451,69.53%
AAPL180420C00105000,2018-02-01 2:08PM EST,105,62.75,53.65,57.3,0,-,7,11,89.95%
AAPL180420C00110000,2018-02-08 12:21PM EST,110,49.8,47.2,48.45,0,-,13,72,59.79%
AAPL180420C00115000,2018-02-02 3:59PM EST,115,45.75,42.4,43.5,0,-,14,96,55.01%
AAPL180420C00120000,2018-02-07 3:55PM EST,120,40.55,37.6,38.7,0,-,12,963,50.83%
AAPL180420C00125000,2018-02-08 12:25PM EST,125,34.95,32.85,33.95,0,-,5,189,50.76%
AAPL180420C00130000,2018-02-08 3:37PM EST,130,29.1,28.25,29.3,0,-,105,"1,370",46.64%
AAPL180420C00135000,2018-02-08 3:58PM EST,135,22.91,23.85,24.7,0,-,34,784,42.46%
AAPL180420C00140000,2018-02-08 3:59PM EST,140,18.1,19.7,20.45,0,-,88,"2,372",39.54%
AAPL180420C00145000,2018-02-08 3:48PM EST,145,15.85,15.8,16.35,0,-,180,"1,672",36.45%
AAPL180420C00150000,2018-02-09 9:33AM EST,150,12.65,12.25,12.7,1.5,13.45%,50,"5,153",34.17%
AAPL180420C00155000,2018-02-09 9:33AM EST,155,9.55,9.2,9.6,1.15,13.69%,13,"7,354",32.65%
AAPL180420C00160000,2018-02-09 9:34AM EST,160,6.9,6.75,7.05,0.9,15.00%,55,"12,153",31.60%
AAPL180420C00165000,2018-02-09 9:34AM EST,165,4.91,4.8,5,0.56,12.87%,226,"13,428",30.74%
AAPL180420C00170000,2018-02-09 9:33AM EST,170,3.3,3.2,3.4,0.4,13.79%,72,"40,424",29.94%
AAPL180420C00175000,2018-02-09 9:34AM EST,175,2.17,2.14,2.21,0.21,10.71%,71,"29,030",29.21%
AAPL180420C00180000,2018-02-09 9:34AM EST,180,1.43,1.41,1.51,0.13,10.00%,40,"27,683",29.42%
AAPL180420C00185000,2018-02-09 9:33AM EST,185,0.97,0.92,1,0.09,10.23%,20,"16,565",29.49%
AAPL180420C00190000,2018-02-08 3:51PM EST,190,0.59,0.6,0.71,0,-,"2,112","14,561",30.18%
