Date,Open,High,Low,Close,Adj Close,Volume
03/01/2012,24.620001,24.889999,24.389999,24.540001,20.066233,44845600
04/01/2012,24.57,25.129999,24.530001,25.110001,20.532314,47504000
05/01/2012,25.059999,25.450001,24.98,25.4,20.769447,49490600
06/01/2012,25.209999,25.4,25.01,25.25,20.646791,36343500
09/01/2012,25.4,25.559999,25.219999,25.469999,20.826687,47478600
10/01/2012,25.709999,25.92,25.51,25.59,20.924809,41060900
11/01/2012,25.43,25.889999,25.34,25.799999,21.096523,57170000
12/01/2012,25.85,25.9,25.540001,25.75,21.055641,44420500
13/01/2012,25.690001,25.719999,25.1,25.139999,20.556847,63313400
17/01/2012,25.18,25.4,24.969999,25.040001,20.475079,60438600
18/01/2012,25.129999,25.48,25.01,25.389999,20.761263,62687000
19/01/2012,25.52,25.68,25.370001,25.629999,20.957516,64946300
20/01/2012,25.870001,26.469999,25.5,26.379999,21.570787,101272500
23/01/2012,26.35,26.889999,26.34,26.709999,21.840628,69663500
24/01/2012,26.700001,26.98,26.610001,26.9,21.995991,56220400
25/01/2012,26.84,26.950001,26.5,26.9,21.995991,54757900
26/01/2012,26.950001,27,26.6,26.75,21.873337,61678200
27/01/2012,26.66,26.84,26.59,26.73,21.856979,50587400
30/01/2012,26.51,26.799999,26.27,26.74,21.865156,60694100
31/01/2012,26.790001,26.799999,26.280001,26.42,21.603493,45325300
01/02/2012,26.74,26.84,26.51,26.549999,21.709795,46330600
02/02/2012,26.59,26.74,26.459999,26.49,21.660732,34780300
03/02/2012,26.67,26.950001,26.58,26.74,22.039879,42191600
06/02/2012,26.549999,26.73,26.360001,26.719999,22.023396,36772600
07/02/2012,26.629999,26.74,26.43,26.639999,21.957457,33101300
08/02/2012,26.66,26.99,26.610001,26.85,22.130545,37072100
09/02/2012,26.91,27,26.790001,26.860001,22.13879,35754200
10/02/2012,26.74,26.790001,26.450001,26.700001,22.00691,33616000
13/02/2012,26.83,26.84,26.52,26.700001,22.00691,24723000
14/02/2012,26.57,26.780001,26.5,26.780001,22.072845,25409300
15/02/2012,26.879999,26.879999,26.5,26.58,21.908001,35832700
16/02/2012,26.4,26.950001,26.35,26.83,22.114056,42450700
17/02/2012,26.860001,27.5,26.82,27.370001,22.559145,74254100
21/02/2012,27.34,27.370001,27.01,27.16,22.386057,34911800
22/02/2012,27.059999,27.35,26.51,26.73,22.031641,51973800
23/02/2012,26.559999,26.860001,26.35,26.66,21.973942,33800100
24/02/2012,26.719999,26.799999,26.450001,26.700001,22.00691,39309500
27/02/2012,26.52,27.200001,26.450001,26.889999,22.163511,46022400
28/02/2012,26.93,27.299999,26.82,27.24,22.45199,32820500
29/02/2012,27.25,27.299999,26.84,26.879999,22.155272,41856200
01/03/2012,27.059999,27.139999,26.709999,26.860001,22.13879,39413000
02/03/2012,26.9,27.030001,26.77,26.92,22.188244,29632800
05/03/2012,26.91,26.91,26.360001,26.540001,21.875036,32332200
06/03/2012,26.25,26.629999,26.200001,26.610001,21.932728,37196700
07/03/2012,26.58,27,26.52,26.91,22.18,32720900
08/03/2012,27,27.040001,26.75,26.84,22.122299,37261600
09/03/2012,26.940001,27.17,26.870001,27.07,22.311878,29396700
12/03/2012,27,27.08,26.91,26.99,22.245932,24006900
13/03/2012,27.120001,27.5,27.120001,27.49,22.658047,33796800
14/03/2012,27.450001,27.9,27.34,27.459999,22.633324,46835700
15/03/2012,27.5,27.85,27.43,27.75,22.872351,34191900
16/03/2012,27.82,27.959999,27.700001,27.73,22.855864,54672100
19/03/2012,27.66,27.9,27.540001,27.74,22.864109,26937200
20/03/2012,27.65,27.9,27.559999,27.75,22.872351,22684900
21/03/2012,27.790001,27.889999,27.700001,27.780001,22.897078,22212900
22/03/2012,27.73,27.950001,27.610001,27.9,22.995981,23395100
23/03/2012,27.940001,27.99,27.68,27.879999,22.979498,24899500
26/03/2012,28.01,28.26,27.959999,28.190001,23.235012,32799700
27/03/2012,28.24,28.280001,28.07,28.190001,23.235012,24365100
28/03/2012,28.129999,28.25,27.799999,27.799999,22.913567,35152000
29/03/2012,27.75,28.18,27.67,28.16,23.210287,39616000
30/03/2012,28.389999,28.450001,28.02,28.120001,23.177317,43024400
02/04/2012,28.040001,28.450001,27.99,28.379999,23.391613,28853500
03/04/2012,28.309999,28.370001,27.950001,28.110001,23.169075,34152500
04/04/2012,27.870001,28.030001,27.6,27.93,23.020712,30845100
05/04/2012,27.870001,28.1,27.799999,28.07,23.136106,22033800
09/04/2012,27.73,27.9,27.59,27.76,22.880594,22965500
10/04/2012,27.700001,27.860001,27.41,27.450001,22.625086,36272100
11/04/2012,27.68,28,27.629999,27.85,22.954777,26668200
12/04/2012,27.969999,28.52,27.93,28.48,23.474037,37053200
13/04/2012,28.35,28.389999,28.08,28.09,23.152586,34480900
16/04/2012,28.26,28.549999,28.139999,28.41,23.41634,37480000
17/04/2012,28.450001,28.780001,28.41,28.469999,23.46579,61288000
18/04/2012,27.58,28.110001,27.459999,27.950001,23.037193,72249100
19/04/2012,27.870001,28.09,27.440001,27.690001,22.822895,43035900
20/04/2012,27.719999,27.969999,27.57,27.6,22.748718,38058500
23/04/2012,27.33,27.57,27.24,27.450001,22.625086,37791200
24/04/2012,27.35,27.6,27.24,27.309999,22.509687,35010600
25/04/2012,27.43,27.91,27.35,27.860001,22.963015,40854600
26/04/2012,27.799999,28.299999,27.75,28.219999,23.259743,46644900
27/04/2012,28.110001,28.530001,28.1,28.379999,23.391613,33310200
30/04/2012,28.42,28.540001,28.290001,28.4,23.408098,28810500
01/05/2012,28.469999,29.049999,28.370001,28.950001,23.861425,43316200
02/05/2012,28.82,29.27,28.719999,29.18,24.050997,40434700
03/05/2012,29.26,29.27,28.42,28.559999,23.710611,41219000
04/05/2012,28.32,28.379999,27.84,27.9,23.162682,34573600
07/05/2012,27.83,27.98,27.65,27.76,23.04645,37385900
08/05/2012,27.48,27.6,27.01,27.370001,22.722675,53087400
