Date,Open,High,Low,Close,Adj Close,Volume
03/01/2012,34.060001,35.189999,34.009998,34.98,29.597521,44102800
04/01/2012,34.439999,35.150002,34.330002,34.950001,29.785021,36571200
05/01/2012,34.709999,35.919998,34.400002,35.68,30.407129,38381400
06/01/2012,35.689999,35.77,35.139999,35.360001,30.134428,33160600
09/01/2012,35.439999,35.68,34.990002,35.299999,30.083292,23001800
10/01/2012,36.07,36.349998,35.759998,36.049999,30.722458,35972800
11/01/2012,35.799999,36.740002,35.66,36.66,31.242304,29852900
12/01/2012,36.82,37.049999,36.169998,36.849998,31.404228,39420700
13/01/2012,35.259998,35.919998,35.130001,35.919998,30.611666,61571500
17/01/2012,34.849998,35.68,34.5,34.91,29.750929,55115100
18/01/2012,34.540001,36.68,34.529999,36.540001,31.140039,55502100
19/01/2012,36.84,37.150002,36.709999,36.93,31.472399,37000400
20/01/2012,36.779999,37.400002,36.619999,37.360001,31.83886,34716500
23/01/2012,37.310001,37.939999,37.27,37.66,32.094524,27499200
24/01/2012,37.18,37.889999,36.799999,37.66,32.094524,25403800
25/01/2012,37.360001,37.82,37.119999,37.599998,32.043388,29860700
26/01/2012,37.880001,38.099998,37.25,37.490002,31.94965,33284600
27/01/2012,37.23,37.66,37.150002,37.209999,31.711023,27674600
30/01/2012,36.66,37.169998,36.360001,37.009998,31.540583,24423600
31/01/2012,37.529999,37.540001,36.93,37.299999,31.78772,29649500
01/02/2012,37.889999,38.029999,37.5,37.599998,32.043388,41957800
02/02/2012,37.689999,38.16,37.419998,37.549999,32.000771,26784200
03/02/2012,38.27,38.5,38.049999,38.279999,32.622898,41074400
06/02/2012,38.060001,38.32,37.810001,38.139999,32.50359,23106200
07/02/2012,37.860001,38.119999,37.700001,37.869999,32.273491,21091900
08/02/2012,38.049999,38.349998,37.970001,38.299999,32.639946,23258700
09/02/2012,38.599998,38.68,37.84,37.860001,32.264969,28608400
10/02/2012,37.220001,37.77,37.110001,37.610001,32.051914,22618800
13/02/2012,38.080002,38.34,37.779999,38.299999,32.639946,24828000
14/02/2012,38.23,38.259998,37.439999,37.919998,32.316097,27031900
15/02/2012,38.080002,38.400002,37.310001,37.400002,31.872953,26534900
16/02/2012,37.150002,38.119999,37.049999,38,32.384274,22139600
17/02/2012,38.599998,38.639999,38.23,38.470001,32.784821,28009300
21/02/2012,38.650002,38.970001,38.41,38.459999,32.776302,22804200
22/02/2012,38.299999,38.389999,37.900002,38.07,32.443932,23416900
23/02/2012,38.060001,38.52,37.75,38.490002,32.801872,31361400
24/02/2012,38.66,38.68,38.189999,38.279999,32.622898,17586400
27/02/2012,38.07,39.23,37.790001,39.060001,33.287628,34030400
28/02/2012,39.130001,39.549999,38.849998,39.209999,33.415459,37900900
29/02/2012,39.330002,39.939999,39.02,39.240002,33.441036,41187700
01/03/2012,39.509998,40.450001,39.470001,40.369999,34.404034,44376700
02/03/2012,40.43,40.880001,40.23,40.630001,34.62561,34897900
05/03/2012,40.700001,40.709999,40,40.400002,34.429604,30806900
06/03/2012,39.450001,39.869999,39.119999,39.32,33.509209,33927500
07/03/2012,39.459999,40.060001,39.380001,39.950001,34.046104,22875100
08/03/2012,40.470001,40.75,40.220001,40.439999,34.463688,22052300
09/03/2012,40.75,41.439999,40.5,41.029999,34.966503,33494200
12/03/2012,40.860001,40.98,40.200001,40.540001,34.54892,30763800
13/03/2012,41.02,43.73,40.82,43.389999,36.977722,77277600
14/03/2012,43.619999,44,43.07,43.580002,37.139656,68028700
15/03/2012,43.639999,44.919998,42.93,44.700001,38.094143,57117700
16/03/2012,44.869999,44.919998,44.220001,44.57,37.983353,48844500
19/03/2012,44.439999,45.349998,44.209999,45,38.3498,41509300
20/03/2012,44.529999,45.599998,44.369999,45.380001,38.673653,34796200
21/03/2012,45.529999,45.669998,44.860001,45.119999,38.452068,27267900
22/03/2012,44.720001,45.099998,44.41,44.650002,38.051537,27457200
23/03/2012,44.450001,45.25,44.439999,45.16,38.48616,30639300
26/03/2012,45.48,46.169998,45.400002,46.169998,39.346897,33529400
27/03/2012,45.919998,46.490002,45.830002,45.889999,39.108276,33026400
28/03/2012,45.759998,46.310001,45.360001,46.27,39.432114,29755800
29/03/2012,45.919998,46.02,45.27,45.669998,38.920795,32262300
30/03/2012,46.080002,46.130001,45.5,45.98,39.184978,25945800
02/04/2012,45.75,46.349998,45.459999,46.130001,39.31282,27669300
03/04/2012,45.740002,45.990002,44.970001,45.419998,38.961109,31036400
04/04/2012,44.68,44.860001,43.959999,44.41,38.094738,41342900
05/04/2012,44.130001,44.73,43.810001,44.34,38.034691,28832300
09/04/2012,43.189999,44.279999,43.07,43.889999,37.648678,29376400
10/04/2012,43.880001,44.009998,42.66,42.959999,36.850933,38841000
11/04/2012,43.59,44.209999,43.57,44.009998,37.751633,32142200
12/04/2012,44.119999,44.990002,44,44.84,38.463593,33631100
13/04/2012,44.950001,44.950001,43.060001,43.209999,37.065384,58183900
16/04/2012,43.380001,43.799999,42.84,43.330002,37.168324,40387600
17/04/2012,43.689999,44,43.16,43.900002,37.657265,26887000
18/04/2012,43.619999,43.91,43.27,43.290001,37.13401,20242900
19/04/2012,43.439999,43.689999,42.77,43.220001,37.073959,25961800
20/04/2012,43.509998,43.580002,42.709999,42.720001,36.645061,26178100
23/04/2012,41.919998,42.959999,41.799999,42.849998,36.75658,25536300
24/04/2012,42.98,43.310001,42.810001,43.279999,37.125427,21420400
25/04/2012,43.650002,43.889999,42.98,43.16,37.022488,31694000
26/04/2012,43.220001,43.889999,43.060001,43.799999,37.571476,28100300
27/04/2012,43.939999,43.990002,43.23,43.34,37.176895,26242900
30/04/2012,43.330002,43.369999,42.540001,42.98,36.868088,23518000
01/05/2012,43,44.240002,42.959999,43.790001,37.562901,26359700
02/05/2012,43.459999,43.529999,42.84,43.200001,37.056816,22462200
03/05/2012,43.380001,43.389999,42.669998,43.009998,36.893822,19536400
