Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
MSFT180720C00055000,2018-02-02 11:50PM EST,55,37.9,34.55,39.1,0,-,2,0,79.39%
MSFT180720C00060000,2018-02-05 11:05AM EST,60,32.8,25.25,28,0,-,24,24,0.00%
MSFT180720C00065000,2018-01-31 1:53PM EST,65,29.83,25.05,29.5,0,-,16,527,61.91%
MSFT180720C00070000,2018-02-08 3:59PM EST,70,17,16.65,18.45,0,-,49,113,21.80%
MSFT180720C00072500,2018-02-06 1:21PM EST,72.5,18.35,14.6,16.4,0,-,30,38,24.44%
MSFT180720C00075000,2018-02-08 3:59PM EST,75,13.07,12.85,14.3,0,-,4,214,24.55%
MSFT180720C00077500,2018-02-06 9:44AM EST,77.5,13.05,11.05,12.45,0,-,1,232,25.34%
MSFT180720C00080000,2018-02-08 3:55PM EST,80,10,9.95,10.45,0,-,60,850,24.28%
MSFT180720C00082500,2018-02-09 9:30AM EST,82.5,8.45,8.4,8.9,-0.68,-7.45%,2,589,24.83%
MSFT180720C00085000,2018-02-08 3:59PM EST,85,6.71,7,7.5,0,-,72,918,25.18%
MSFT180720C00087500,2018-02-09 9:33AM EST,87.5,5.8,5.85,6.2,0.2,3.57%,3,917,25.17%
MSFT180720C00090000,2018-02-08 3:59PM EST,90,4.5,4.8,5.15,0,-,317,"2,119",25.51%
MSFT180720C00092500,2018-02-09 9:30AM EST,92.5,4.2,3.95,4.15,0.35,9.09%,2,"2,638",25.37%
MSFT180720C00095000,2018-02-09 9:30AM EST,95,3.16,3,3.45,0.01,0.32%,17,"14,389",25.92%
MSFT180720C00097500,2018-02-08 2:36PM EST,97.5,2.55,2.46,2.6,-0.1,-3.77%,5,877,25.14%
MSFT180720C00100000,2018-02-08 3:59PM EST,100,1.9,1.89,2.1,0,-,"1,185","4,868",25.45%
MSFT180720C00105000,2018-02-08 3:52PM EST,105,1.23,1.08,1.38,0,-,640,"2,295",26.17%
MSFT180720C00110000,2018-02-08 1:28PM EST,110,0.75,0.56,0.92,0,-,539,"2,198",26.98%
MSFT180720C00115000,2018-02-08 3:49PM EST,115,0.47,0.25,0.66,0,-,30,357,28.17%
MSFT180720C00120000,2018-02-08 3:53PM EST,120,0.28,0.27,0.55,0,-,151,"1,769",30.15%
"PutsforJuly 20, 2018",,,,,,,,,,
Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
MSFT180720P00055000,2018-02-08 3:19PM EST,55,0.33,0.11,0.57,0,-,83,374,46.24%
MSFT180720P00060000,2018-02-08 12:34PM EST,60,0.44,0.27,0.81,0,-,13,302,42.53%
MSFT180720P00065000,2018-02-08 3:59PM EST,65,1,0.59,1.05,0,-,109,532,38.03%
MSFT180720P00070000,2018-02-08 3:29PM EST,70,1.31,1.19,1.59,0,-,33,413,35.44%
MSFT180720P00072500,2018-02-08 3:27PM EST,72.5,1.68,1.6,2.03,0,-,37,537,34.78%
MSFT180720P00075000,2018-02-08 3:58PM EST,75,2.61,2.14,2.35,0,-,197,"11,906",32.85%
MSFT180720P00077500,2018-02-08 3:54PM EST,77.5,3.2,2.77,3.25,0,-,101,"1,179",33.81%
MSFT180720P00080000,2018-02-08 3:42PM EST,80,3.85,3.5,4.05,0,-,62,887,33.47%
MSFT180720P00082500,2018-02-08 3:45PM EST,82.5,4.75,4.4,4.9,0,-,35,"1,539",32.79%
MSFT180720P00085000,2018-02-08 3:56PM EST,85,6.16,5.5,6.1,0,-,83,"3,600",33.14%
MSFT180720P00087500,2018-02-07 10:47AM EST,87.5,4.5,6.7,7.25,0,-,195,932,32.67%
MSFT180720P00090000,2018-02-09 9:30AM EST,90,8.5,8.05,8.85,0.82,10.68%,1,"1,917",33.58%
MSFT180720P00092500,2018-02-08 2:59PM EST,92.5,9.71,9.6,10.4,0,-,61,662,33.75%
MSFT180720P00095000,2018-02-05 2:59PM EST,95,8.5,10.75,13.7,0,-,61,447,41.03%
MSFT180720P00097500,2018-02-05 12:49PM EST,97.5,8.92,11.45,15.6,0,-,11,218,41.96%
MSFT180720P00100000,2018-02-07 1:23PM EST,100,12.7,14.8,16.1,0,-,83,996,36.17%
MSFT180720P00105000,2018-02-05 11:49AM EST,105,14.65,17.45,21.5,0,-,122,315,43.75%
MSFT180720P00110000,2018-02-06 1:13PM EST,110,21.75,22.95,24.9,0,-,13,115,40.70%
